Período;1/06/2004;1/07/2004;1/08/2004;1/09/2004;1/10/2004;1/11/2004;1/12/2004;1/01/2005;1/02/2005;1/03/2005;1/04/2005;1/05/2005;1/06/2005;1/07/2005;1/08/2005;1/09/2005;1/10/2005;1/11/2005;1/12/2005;1/01/2006;1/02/2006;1/03/2006;1/04/2006;1/05/2006;1/06/2006;1/07/2006;1/08/2006;1/09/2006;1/10/2006;1/11/2006;1/12/2006;1/01/2007;1/02/2007;1/03/2007;1/04/2007;1/05/2007;1/06/2007;1/07/2007;1/08/2007;1/09/2007;1/10/2007;1/11/2007;1/12/2007;1/01/2008;1/02/2008;1/03/2008;1/04/2008;1/05/2008;1/06/2008;1/07/2008;1/08/2008;1/09/2008;1/10/2008;1/11/2008;1/12/2008;1/01/2009;1/02/2009;1/03/2009;1/04/2009;1/05/2009;1/06/2009;1/07/2009;1/08/2009;1/09/2009;1/10/2009;1/11/2009;1/12/2009;1/01/2010;1/02/2010;1/03/2010;1/04/2010;1/05/2010;1/06/2010;1/07/2010;1/08/2010;1/09/2010;1/10/2010;1/11/2010;1/12/2010;1/01/2011;1/02/2011;1/03/2011;1/04/2011;1/05/2011;1/06/2011;1/07/2011;1/08/2011;1/09/2011;1/10/2011;1/11/2011;1/12/2011;1/01/2012;1/02/2012;1/03/2012;1/04/2012;1/05/2012;1/06/2012;1/07/2012;1/08/2012;1/09/2012;1/10/2012;1/11/2012;1/12/2012;1/01/2013;1/02/2013;1/03/2013;1/04/2013;1/05/2013;1/06/2013;1/07/2013;1/08/2013;1/09/2013;1/10/2013;1/11/2013;1/12/2013;1/01/2014;1/02/2014;1/03/2014;1/04/2014;1/05/2014;1/06/2014;1/07/2014;1/08/2014;1/09/2014;1/10/2014;1/11/2014;1/12/2014;1/01/2015;1/02/2015;1/03/2015;1/04/2015;1/05/2015;1/06/2015;1/07/2015;1/08/2015;1/09/2015;1/10/2015;1/11/2015;1/12/2015;1/01/2016;1/02/2016;1/03/2016;1/04/2016;1/05/2016;1/06/2016;1/07/2016;1/08/2016;1/09/2016;1/10/2016;1/11/2016;1/12/2016;1/01/2017;1/02/2017;1/03/2017;1/04/2017;1/05/2017;1/06/2017;1/07/2017;1/08/2017;1/09/2017;1/10/2017;1/11/2017;1/12/2017;1/01/2018;1/02/2018;1/03/2018;1/04/2018;1/05/2018;1/06/2018;1/07/2018;1/08/2018;1/09/2018;1/10/2018;1/11/2018;1/12/2018;1/01/2019;1/02/2019;1/03/2019;1/04/2019;1/05/2019;1/06/2019;1/07/2019;1/08/2019;1/09/2019;1/10/2019;1/11/2019;1/12/2019;1/01/2020;1/02/2020;1/03/2020
La dotación se mantendrá;88;89;88;88;87;88.5;86.6;86.5;78.8;80.2;84;84.1;84.6;84.4;84.2;85.2;85.1;84.3;83.4;83.4;82;82.1;83.7;83.4;84.8;84.3;88.4;82.8;87.5;89;86.3;87.2;87.3;87;86.7;89.9;90.4;89.7;87.8;91.4;88.6;88.5;91.1;88.5;87.5;89.9;88.3;90.1;92.6;90;92.7;94.6;95.6;93;91.7;92.6;91;92.1;90.7;91.7;92.5;91.1;91.1;91.9;89.5;91.6;92.8;91.9;88.6;90.8;93.1;92.3;93.4;91.1;90.5;90.7;91.8;90.3;90.7;87;86;86.9;88.9;89.6;91.3;90;91.6;90.5;89.1;88.6;88.5;89.7;87;88.8;89.9;88.8;90.3;89.6;88.3;90.3;88.7;88.2;89.3;90.4;89.4;92.1;90.9;91.3;88.9;90.7;89.8;89.3;89.7;87.7;91.3;88.5;90.1;90.1;83.8;86.9;88.6;88;88.2;89.3;87.3;87;87;87.4;86.3;88;89;86.9;88.6;87.1;88.2;87;86.8;87.6;88.2;86.4;85.4;83.6;85.1;87.5;85.1;85.9;85.4;85.1;84.4;86.6;83.7;83.8;85.1;85.8;85.7;85.3;85.6;86.6;86.4;86.4;84.5;85.5;84.4;83.1;83.3;84.5;85.7;86.8;85.5;87.4;86.8;86.7;87.2;87.7;87.9;86.6;85.2;85.4;88;87.7;90.8;90.9;91.1;90.9;92.5;92.7;93.1;93.1;92.8;92
La dotación aumentará;10;9;10;10;10;8.9;10.4;11.2;16.9;15.2;12.5;12.6;11.9;12.4;12.6;11.4;12;12;12.8;13.8;14.5;14.8;13.1;13.7;12.3;12.8;8.3;13.6;9.3;8.2;10.8;9.7;10.6;10.9;10.3;8.4;7.9;8.9;10.8;7.2;9.5;8.6;6.7;9.6;10.5;8.8;10.3;8.2;6.1;8.5;6.1;4;2.6;3.6;4.2;3.3;5.6;4.4;4.3;4.7;3.2;4.2;5.6;5.6;7.7;5.6;5.2;5.7;7.7;6.1;4.7;5.7;5;6.9;7.1;7.9;6.5;7.9;8.3;10.1;9.7;9.9;8.5;7.8;6.8;8;7.1;7.5;8.2;7.4;8.2;8;9;7.9;6.7;7.8;7;6.7;8.9;7.9;8;7.9;7.7;6.3;6.9;5.7;6.1;6.2;8;7.2;7.1;8.5;7.2;10;6;8;5.3;6.3;9.1;8.3;6.5;6.7;7.6;6.6;8.8;8.8;9.1;9.2;9.3;8.3;7.9;9.5;7.9;8.7;8.8;9.3;10.1;8.8;8.8;9.7;9.5;10;9.5;7.9;9.1;8.9;10;11;10.7;8.4;11;11.5;10.2;9.9;9.6;11.2;9.9;9;11;10.7;11.8;9.9;10.8;11.2;11;10.7;9.6;8.3;7.8;7.1;6.7;6.5;6.9;6.1;5.8;5.6;6.9;6.9;5.5;7;5.2;4.1;3.9;4.3;4;3.9;3.8;3.9;3.4;0.8
La dotación disminuirá;2;2;2;2;3;2.5;3;2.4;4.3;4.7;3.5;3.3;3.5;3.2;3.2;3.4;2.9;3.7;3.8;2.8;3.5;3.1;3.1;2.9;2.9;2.9;3.3;3.6;3.2;2.8;2.9;3.1;2.1;2.1;3;1.6;1.7;1.4;1.4;1.4;1.9;2.9;2.1;1.9;2;1.4;1.4;1.6;1.2;1.5;1.2;1.5;1.8;3.4;4.1;4.1;3.5;3.5;5;3.6;4.4;4.6;3.3;2.5;2.7;2.8;2;2.3;3.7;3.1;2.2;1.9;1.5;2.1;2.4;1.4;1.8;1.7;1;2.9;4.2;3.2;2.6;2.6;1.9;2;1.4;2;2.7;4;3.3;2.3;3.9;3.3;3.3;3.4;2.7;3.8;2.9;1.8;3.4;4;3.1;3.3;3.6;2.2;3;2.4;3;2.2;3.1;2.2;3.1;2.4;2.7;3.6;4.7;3.5;7.1;4.9;4.9;5.3;4.2;4;3.9;4.2;3.8;3.4;4.4;3.7;3.1;3.6;3.5;4.2;3;3.7;3;3.6;3;3.8;5.1;6.4;5.4;4.6;5.8;5.2;4.6;3.9;4.8;5;5.4;4.7;4.6;4.3;4.7;3.5;4.5;4.5;2.6;2.9;3.7;4.6;4.8;5.7;5.7;4.8;4.8;4.9;6.7;5.5;6.5;6.9;5.9;6.2;6.4;7.8;8;7.7;6.5;5.3;4;5;5;4.8;3.5;3.4;3.1;3;3.9;7.2
