Marca temporal;País;Provincia donde trabajas;Edad...4;Género...5;¿Estás haciendo home office?...6;¿En qué provincia trabajás?;Edad...8;Género...9;¿Estás haciendo home office?...10;Sentís que trabajando desde tu casa, tu productividad...;¿Tenés hijos?;¿Ya hacías home office antes de la pandemia?;Preferís...;La comunicación con tu equipo de trabajo;¿En qué tipo de empresa trabajás?;¿Querés contestar más preguntas?;¿Cuál es el rubro de la empresa?...18;Antes de la cuarentena ¿Qué porcentaje de la empresa estaba haciendo teletrabajo?;¿Qué herramientas de comunicación utilizas con tu equipo?;¿Hacés pausas para distenderte o trabajás de corrido?;Respecto a la vestimenta;¿Hacés el mismo horario que yendo a la oficina?;Respecto de la planificación;¿Preferís un ambiente tranquilo o con algo de ruido?;¿Usás auriculares para trabajar?;¿Te gustaría trabajar todos los días desde tu casa?;¿Creés que va a cambiar la forma de trabajar después de esta crisis?;Justifica la respuesta;¿Tu trabajo se puede hacer desde tu casa?;¿Hay sectores de la empresa que están haciendo teletrabajo?;¿La empresa brinda servicios considerados esenciales?;¿La empresa dio algún beneficio para que los empleados vayan a trabajar presencialmente?;En el caso que estés en cuarentena sin posibilidad de trabajar desde tu casa, ¿tu empleador te sigue pagando el sueldo?;Tipo de empresa;¿Cuál es el rubro de la empresa?...36;La empresa cumple con las pautas y condiciones de prevención;¿Querés recibir los resultados de esta encuesta por mail?;¿Querés recibir más información de los servicios y eventos de Data 4HR?
2020-03-20T12:55:24Z;Argentina;NA;NA;NA;NA;Jujuy;38;Mujer;Sí;Sigue igual;Sí;Sí;Trabajar con gente en la oficina;Se mantiene igual de bien;Nacional;Si;Salud;Menos del 10%;Mail, WhatsApp, Red social interna (Yammer/Workplace);Sí;Te ponés lo primero que encontrás;No, trabajo menos horas;Voy viendo según el día;Prefiero un ambiente en silencio;A veces;No;Sí;Se darán cuenta que no siempre es necesario estar en un lugar fijo para lograr los objetivos o tener productividad, además te ahorras tiempo y costos innecesarios;NA;NA;NA;NA;NA;NA;NA;NA;Sí;No
2020-03-20T13:00:34Z;Argentina;NA;NA;NA;NA;Ciudad Autónoma de Buenos Aires;42;Mujer;Sí;Sigue igual;Sí;Sí;Trabajar desde tu casa;Se mantiene igual de bien;Multinacional;Si;CONSUMO MASIVO;Entre un 10% y un 30%;Skype/Microsoft Teams, Mail, WhatsApp;Sí;Te ponés lo primero que encontrás;No, trabajo más horas;Planifico todas las tareas del día;Pongo música/radio;A veces;Tal vez;Tal vez;Porque muchas empresas que no habian experimentado el home office ahora se dan cuenta que es un posibilidad real;NA;NA;NA;NA;NA;NA;NA;NA;Sí;No
2020-03-20T13:01:24Z;Argentina;NA;NA;NA;NA;Tucumán;28;Mujer;Sí;Sigue igual;No;No;Trabajar en un cowork;Se mantiene igual de bien;Multinacional;Si;Hoteleria;Menos del 10%;Skype/Microsoft Teams, WhatsApp;Sí;Te ponés lo primero que encontrás;No, trabajo menos horas;Voy viendo según el día;Pongo música/radio;A veces;Tal vez;Sí;Quizas por motivo de la pandemia, se entienda q estar sentado horas hombres no es igual a productividad en el trabajo;NA;NA;NA;NA;NA;NA;NA;NA;Sí;Sí
2020-03-20T13:03:15Z;Argentina;NA;NA;NA;NA;Mendoza;39;Hombre;Sí;Mejoró;Sí;Sí;Trabajar desde tu casa;Se mantiene igual de bien;Nacional;Si;Petroleo;Entre 51% y un 80%;Skype/Microsoft Teams, Mail, WhatsApp;Sólo para comer;Te ponés lo primero que encontrás;No, trabajo más horas;Voy viendo según el día;Pongo música/radio;Nunca;Tal vez;Tal vez;NA;NA;NA;NA;NA;NA;NA;NA;NA;Sí;Sí
2020-03-20T13:04:12Z;Argentina;NA;NA;NA;NA;Tucumán;26;Hombre;No;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;No;Sí;No;Sí;Nacional;Supermercado;Más o menos;Sí;Sí
2020-03-20T13:04:29Z;Argentina;NA;NA;NA;NA;Ciudad Autónoma de Buenos Aires;45;Mujer;Sí;Sigue igual;Sí;Sí;Trabajar desde un bar/café;Tuvimos que hacer ajustes pero va bien;Multinacional;Si;Financiera;Entre un 10% y un 30%;Skype/Microsoft Teams, WhatsApp;Sí;Te ponés lo primero que encontrás;No, trabajo menos horas;Me pongo uno o dos objetivos nada más;Pongo música/radio;A veces;No;Sí;Vamos a incorporar más herramientas para trabajo remoto, y sumar habilidades de trabajo colaborativo.;NA;NA;NA;NA;NA;NA;NA;NA;Sí;Sí
2020-03-20T13:13:09Z;Argentina;NA;NA;NA;NA;Ciudad Autónoma de Buenos Aires;49;Hombre;Sí;Sigue igual;No;Sí;Trabajar en un cowork;Se mantiene igual de bien;Multinacional;Si;consultoria de rh;Entre 31% y el 50%;Mail, WhatsApp;Sí;Te ponés lo primero que encontrás;No, trabajo menos horas;Planifico todas las tareas del día;Pongo música/radio;Nunca;Tal vez;Sí;si habrá un antes y después de esta pandemia;NA;NA;NA;NA;NA;NA;NA;NA;Sí;Sí
2020-03-20T13:13:34Z;Argentina;NA;NA;NA;NA;Buenos Aires;33;Mujer;Sí;Sigue igual;No;No;Trabajar con gente en la oficina;Se mantiene igual de bien;Nacional;Si;Colchones y sommier;Entre 31% y el 50%;WhatsApp;Sí;Te ponés lo primero que encontrás;No, trabajo menos horas;Voy viendo según el día;Pongo música/radio;Nunca;No;Sí;NA;NA;NA;NA;NA;NA;NA;NA;NA;Sí;Sí
2020-03-20T13:16:25Z;Argentina;NA;NA;NA;NA;Buenos Aires;56;Mujer;Sí;Sigue igual;Sí;Sí;Trabajar desde tu casa;Se mantiene igual de bien;Emprendimiento personal;Si;Consultoría;Más del 80%;Zoom, Skype/Microsoft Teams, Mail, WhatsApp;Sí;Te ponés lo primero que encontrás;No, trabajo más horas;Voy viendo según el día;Prefiero un ambiente en silencio;Nunca;Tal vez;Sí;NA;NA;NA;NA;NA;NA;NA;NA;NA;Sí;No
2020-03-20T13:24:41Z;Argentina;NA;NA;NA;NA;Entre Ríos;32;Mujer;Sí;Mejoró;No;No;Trabajar desde tu casa;Es mucho peor;Nacional;Si;Construcción;Menos del 10%;Mail, WhatsApp, Red social interna (Yammer/Workplace);No;Te ponés lo primero que encontrás;Si;Me pongo uno o dos objetivos nada más;Pongo música/radio;A veces;No;Sí;"Trabajo en una empresa donde, por su cultura, el que está físicamente en la oficina, o en su puesto de trabajo, es quien trabaja. No importa si no estas haciendo nada, si estas físicamente en el lugar se considera que estas trabajando. No hay mucho control de las tareas, las jefaturas están difusas, no hay mucha exigencia en general, por lo que vale que hayas marcado la entrada y la salida en los horarios que deberías. Por todo esto es que jamás se había realizado teletrabajo. Al plantearse la situación actual, y ante el pedido de revisar si todos tenían las herramientas para poder trabajar en sus casas, para ir adelantando llegado el caso, hubo dos respueatas: enojo: porque RrHh estaba haciendo algo que no se creía que fuese necesario, no era para tanto y nadie iba a trabajar desde su casa. Otra un poco más gráfica para entender el punto de vista de los dueños: ""A mi también me gustaría levantarme a las 10 y tomar mate con los vecinos"". 
Al otro día se tomó la decisión de trabajar desde la casa, todos tenían los recursos necesarios. Se tendrá que analizar la productividad de cada sector de acuerdo a esta modalidad, y deseo que se comience a valorar el trabajo por resultados y no por presencia; esto creo va a contribuir en ese camino.";NA;NA;NA;NA;NA;NA;NA;NA;Sí;Sí
2020-03-20T13:27:22Z;Argentina;NA;NA;NA;NA;Ciudad Autónoma de Buenos Aires;38;Hombre;Sí;Sigue igual;No;Sí;Trabajar en un cowork;Tuvimos que hacer ajustes pero va bien;Nacional;Si;Alimenticia;Menos del 10%;Skype/Microsoft Teams, Mail, WhatsApp;Sí;Te ponés lo primero que encontrás;Si;Planifico todas las tareas del día;Pongo música/radio;A veces;Tal vez;Sí;Las empresas que no comprendian el homeoffice van a ver la productividad y que las tareas no cambian. Ademas la jornadas de 8/9 hs van a cambiar a objetivos;NA;NA;NA;NA;NA;NA;NA;NA;Sí;Sí
2020-03-20T13:28:12Z;Argentina;NA;NA;NA;NA;Ciudad Autónoma de Buenos Aires;32;Mujer;Sí;Mejoró;No;No;Trabajar con gente en la oficina;Se mantiene igual de bien;Empresa Estatal;Si;Sector público;Menos del 10%;Mail, WhatsApp;Sí;Te vestís como para ir a trabajar normalmente;Si;Voy viendo según el día;Prefiero un ambiente en silencio;A veces;No;Sí;NA;NA;NA;NA;NA;NA;NA;NA;NA;Sí;Sí
2020-03-20T13:34:12Z;Argentina;NA;NA;NA;NA;Jujuy;35;Mujer;No;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Sí;Sí;No;Sí;Multinacional;Construccion;Si;Sí;No
2020-03-20T13:35:04Z;Paraguay;ASUNCION;28;Hombre;No;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Sí;Sí;Sí;Sí;Sí;Nacional;RRHH;Si;Sí;Sí
2020-03-20T13:36:53Z;Argentina;NA;NA;NA;NA;Buenos Aires;32;Mujer;Sí;Sigue igual;Sí;No;Trabajar con gente en la oficina;Tuvimos que hacer ajustes pero va bien;Multinacional;Si;Venta de herramientas manuales y electricas;Menos del 10%;Zoom, Mail, WhatsApp, Red social interna (Yammer/Workplace);Sí;Te ponés lo primero que encontrás;No, trabajo más horas;Voy viendo según el día;Pongo música/radio;A veces;Tal vez;Tal vez;Esto hará que se replanteen las formas de trabajo.;NA;NA;NA;NA;NA;NA;NA;NA;Sí;Sí
